MATRICULA,NOME,REPROVACOES_DE,REPROVACOES_EM,REPROVACOES_MF,REPROVACOES_GO,NOTA_DE,NOTA_EM,NOTA_MF,NOTA_GO,INGLES,H_AULA_PRES,TAREFAS_ONLINE,FALTAS,PERFIL
397093,Ana,0,0,0,0,6.0,6.2,5.2,4.5,1.0,2,4,3,EXATAS
915288,Ana,0,0,0,0,7.3,6.7,7.1,7.2,0.0,5,0,3,HUMANAS
192652,Ana,1,3,1,1,0.0,0.0,0.0,0.0,1.0,4,4,4,DIFICULDADE
627360,Ana,0,0,0,0,7.3,7.4,7.6,6.5,1.0,5,3,5,HUMANAS
804493,Ana,0,0,0,0,5.8,6.0,7.3,5.1,1.0,5,2,6,DIFICULDADE
178335,Ana,0,0,0,0,4.4,4.8,4.7,4.6,1.0,3,4,4,DIFICULDADE
987229,Ana,0,0,0,0,6.4,5.4,5.0,5.5,1.0,3,5,3,EXATAS
483227,Ana,1,1,1,1,0.0,0.0,0.0,0.0,-1.0,7,5,5,DIFICULDADE
672601,Ana,1,3,1,1,0.0,0.0,0.0,0.0,-1.0,5,2,6,DIFICULDADE
630347,Ana,0,0,0,0,6.6,4.4,4.9,4.7,1.0,4,2,4,EXATAS
573688,Ana,0,0,0,0,5.5,5.1,6.2,4.7,1.0,2,3,6,EXATAS
719970,Ana,0,0,0,0,6.7,6.5,7.0,5.6,1.0,7,5,3,HUMANAS
546151,Ana,0,0,0,0,5.4,5.2,5.0,5.8,1.0,1,3,5,EXATAS
390727,Ana,0,0,0,0,5.3,4.8,4.8,5.3,0.0,3,4,4,DIFICULDADE
394721,Ana,0,0,0,0,7.0,7.4,7.3,7.0,-1.0,15,5,2,HUMANAS
506004,Ana,0,0,0,0,8.0,8.4,10.0,8.5,0.0,10,6,2,EXCELENTE
656202,Ana,0,0,0,0,6.1,5.2,5.6,5.2,-1.0,4,5,3,EXATAS
535203,Ana,1,1,1,1,0.0,0.0,0.0,0.0,1.0,2,0,3,DIFICULDADE
332396,Ana,0,0,0,0,7.2,7.4,8.1,-1.0,1.0,3,5,2,HUMANAS
617599,Ana,0,0,0,0,4.5,4.9,5.5,-1.0,1.0,5,2,6,DIFICULDADE
194445,Ana,0,0,0,0,6.7,7.0,5.9,5.6,0.0,5,4,4,MUITO_BOM
644628,Ana,0,0,0,0,6.8,7.1,7.9,5.8,0.0,1,4,6,HUMANAS
364403,Ana,0,0,0,0,5.7,4.9,5.0,5.2,-1.0,5,1,3,DIFICULDADE
375701,Ana,0,0,0,0,6.1,6.4,5.4,5.4,-1.0,2,2,6,DIFICULDADE
148016,Ana,0,0,0,0,6.0,6.2,5.4,6.4,1.0,2,4,4,EXATAS
556989,Ana,0,0,0,0,6.4,5.7,5.0,-1.0,0.0,5,5,3,EXATAS
608546,Ana,0,0,0,0,6.6,6.0,6.5,6.2,1.0,2,0,3,EXATAS
604099,Ana,0,0,0,0,7.3,8.1,7.1,7.5,0.0,3,5,2,MUITO_BOM
520728,Ana,0,0,0,0,5.9,5.7,5.6,5.6,1.0,3,2,5,EXATAS
775472,Ana,1,1,1,1,0.0,0.0,0.0,0.0,0.0,6,0,3,DIFICULDADE
275380,Ana,0,0,0,0,4.7,5.9,5.0,4.5,1.0,5,1,7,DIFICULDADE
420908,Ana,0,0,0,0,5.5,5.2,7.5,5.4,1.0,9,4,4,HUMANAS
546263,Ana,0,0,0,0,6.5,5.9,5.4,4.8,1.0,0,3,5,EXATAS
763764,Ana,0,0,1,1,4.7,5.1,0.0,0.0,1.0,3,3,5,DIFICULDADE
970726,Ana,0,0,0,0,5.5,6.2,6.0,5.8,1.0,5,6,6,EXATAS
950310,Ana,0,0,0,0,6.8,6.2,7.1,6.4,0.0,9,3,4,MUITO_BOM
610884,Ana,0,0,0,0,6.2,5.5,4.9,4.3,0.0,7,2,3,EXATAS
